split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__reg_alpha,params
0.8588957055214724,0.8795180722891567,0.8862275449101796,0.8433734939759036,0.867003704174178,0.016957977017669733,27,14.695747256278992,0.371212989068003,0.13278675079345703,0.0078041626935563095,0.6519061034387313,0.17085499294609066,4,31,0.3343253133904218,"OrderedDict([('classifier__colsample_bytree', 0.6519061034387313), ('classifier__learning_rate', 0.17085499294609066), ('classifier__max_depth', 4), ('classifier__n_estimators', 31), ('classifier__reg_alpha', 0.3343253133904218)])"
0.7932960893854749,0.8297872340425532,0.8369565217391305,0.7868852459016393,0.8117312727671995,0.021906117642081908,40,9.700832784175873,0.13022915492399761,0.12497591972351074,1.1359338044711681e-05,0.7019306215341456,0.013381420831784622,3,25,0.9681184963693085,"OrderedDict([('classifier__colsample_bytree', 0.7019306215341456), ('classifier__learning_rate', 0.013381420831784622), ('classifier__max_depth', 3), ('classifier__n_estimators', 25), ('classifier__reg_alpha', 0.9681184963693085)])"
0.8536585365853658,0.8953488372093024,0.8488372093023256,0.8192771084337349,0.8542804228826822,0.02711946715167441,37,12.985211193561554,0.197709161091725,0.1210709810256958,0.0067499247793217495,0.6916737708227879,0.12487087457952697,3,34,0.5130088696767741,"OrderedDict([('classifier__colsample_bytree', 0.6916737708227879), ('classifier__learning_rate', 0.12487087457952697), ('classifier__max_depth', 3), ('classifier__n_estimators', 34), ('classifier__reg_alpha', 0.5130088696767741)])"
0.8383233532934132,0.9005847953216374,0.8571428571428571,0.8433734939759036,0.8598561249334528,0.024502672259764446,35,13.707693755626678,0.21089950586555864,0.12887436151504517,0.006765651490095643,0.6759140715305163,0.03848038289349779,4,30,0.5977332320375118,"OrderedDict([('classifier__colsample_bytree', 0.6759140715305163), ('classifier__learning_rate', 0.03848038289349779), ('classifier__max_depth', 4), ('classifier__n_estimators', 30), ('classifier__reg_alpha', 0.5977332320375118)])"
0.8502994011976047,0.9058823529411764,0.8620689655172413,0.8383233532934132,0.8641435182373589,0.025518496163391552,31,17.792661786079407,0.164953507379179,0.13669919967651367,0.012939823317133118,0.6572218171374794,0.06212853896325281,4,40,0.23834250654032135,"OrderedDict([('classifier__colsample_bytree', 0.6572218171374794), ('classifier__learning_rate', 0.06212853896325281), ('classifier__max_depth', 4), ('classifier__n_estimators', 40), ('classifier__reg_alpha', 0.23834250654032135)])"
0.8571428571428572,0.9069767441860465,0.8705882352941177,0.8263473053892216,0.8652637855030608,0.02893424696423061,30,14.71135675907135,0.1917491448512633,0.13279414176940918,0.0078112000365613415,0.7002130143820194,0.10469263832347725,4,31,0.2534955402975628,"OrderedDict([('classifier__colsample_bytree', 0.7002130143820194), ('classifier__learning_rate', 0.10469263832347725), ('classifier__max_depth', 4), ('classifier__n_estimators', 31), ('classifier__reg_alpha', 0.2534955402975628)])"
0.8421052631578947,0.9005847953216374,0.8620689655172413,0.8433734939759036,0.8620331294931692,0.023619557980010288,33,15.69942021369934,0.2692209602661521,0.12497216463088989,0.011045593614236373,0.7678913029370513,0.07915824068049897,4,30,0.3689277068698954,"OrderedDict([('classifier__colsample_bytree', 0.7678913029370513), ('classifier__learning_rate', 0.07915824068049897), ('classifier__max_depth', 4), ('classifier__n_estimators', 30), ('classifier__reg_alpha', 0.3689277068698954)])"
0.8023255813953489,0.8372093023255814,0.8522727272727273,0.8192771084337349,0.8277711798568481,0.01876853558427097,39,11.013023853302002,0.011046436132589621,0.13669317960739136,0.006767587565927861,0.7375913493815225,0.05780295057591951,3,27,0.6633655053253547,"OrderedDict([('classifier__colsample_bytree', 0.7375913493815225), ('classifier__learning_rate', 0.05780295057591951), ('classifier__max_depth', 3), ('classifier__n_estimators', 27), ('classifier__reg_alpha', 0.6633655053253547)])"
0.8433734939759037,0.8735632183908046,0.8505747126436781,0.8023952095808383,0.8424766586478062,0.025686959474063548,38,11.302016973495483,0.12175931234797699,0.12497127056121826,0.01103448103904604,0.8131657924044002,0.1608516422517461,3,26,0.5385360627884146,"OrderedDict([('classifier__colsample_bytree', 0.8131657924044002), ('classifier__learning_rate', 0.1608516422517461), ('classifier__max_depth', 3), ('classifier__n_estimators', 26), ('classifier__reg_alpha', 0.5385360627884146)])"
0.8606060606060606,0.9005847953216374,0.8604651162790697,0.8214285714285714,0.8607711359088349,0.027986986947471294,34,17.292794704437256,0.3019099084558592,0.12496918439865112,0.01104727926299582,0.6820853213635711,0.1330797142349731,3,47,0.35603804135318073,"OrderedDict([('classifier__colsample_bytree', 0.6820853213635711), ('classifier__learning_rate', 0.1330797142349731), ('classifier__max_depth', 3), ('classifier__n_estimators', 47), ('classifier__reg_alpha', 0.35603804135318073)])"
0.8639053254437871,0.9069767441860465,0.8685714285714285,0.8263473053892216,0.8664502008976209,0.028555292578547827,28,15.467660069465637,0.2392215911337626,0.12887126207351685,0.006768003529455185,0.7588413580016643,0.08885689499670811,4,30,0.31318852821450005,"OrderedDict([('classifier__colsample_bytree', 0.7588413580016643), ('classifier__learning_rate', 0.08885689499670811), ('classifier__max_depth', 4), ('classifier__n_estimators', 30), ('classifier__reg_alpha', 0.31318852821450005)])"
